Skip to content,#start-of-content,
Update python-unix.yml,/Izzy3110/Flask-App/actions/runs/3720492352,
c61f92d,/Izzy3110/Flask-App/commit/c61f92d9e1f34d90ed08bc142da9a8681b86fb3c,
Izzy3110,/Izzy3110,
main,/Izzy3110/Flask-App,_parent
main,/Izzy3110/Flask-App,_parent
View workflow file,/Izzy3110/Flask-App/actions/runs/3720492352/workflow,
beautify,/Izzy3110/Flask-App/actions/runs/3720473340,
d4de0dd,/Izzy3110/Flask-App/commit/d4de0ddae8ceb21c03d594e848138eb4b6f80bde,
Izzy3110,/Izzy3110,
main,/Izzy3110/Flask-App,_parent
main,/Izzy3110/Flask-App,_parent
View workflow file,/Izzy3110/Flask-App/actions/runs/3720473340/workflow,
rm venv,/Izzy3110/Flask-App/actions/runs/3720464640,
3d183de,/Izzy3110/Flask-App/commit/3d183de43b0f411899e4c0b6c85942034bede73d,
Izzy3110,/Izzy3110,
main,/Izzy3110/Flask-App,_parent
main,/Izzy3110/Flask-App,_parent
View workflow file,/Izzy3110/Flask-App/actions/runs/3720464640/workflow,
rm venv,/Izzy3110/Flask-App/actions/runs/3720265856,
ab3f404,/Izzy3110/Flask-App/commit/ab3f404e6960e05f589568c88e4c5d80889a46d2,
Izzy3110,/Izzy3110,
main,/Izzy3110/Flask-App,_parent
main,/Izzy3110/Flask-App,_parent
View workflow file,/Izzy3110/Flask-App/actions/runs/3720265856/workflow,
mysql,/Izzy3110/Flask-App/actions/runs/3720256632,
e06858e,/Izzy3110/Flask-App/commit/e06858ee259a0f839fd66b7da77aac421d8b40ef,
Izzy3110,/Izzy3110,
main,/Izzy3110/Flask-App,_parent
main,/Izzy3110/Flask-App,_parent
View workflow file,/Izzy3110/Flask-App/actions/runs/3720256632/workflow,
update login,/Izzy3110/Flask-App/actions/runs/3720231688,
473cc3b,/Izzy3110/Flask-App/commit/473cc3be0e83fc8742afa22d4fa0ed31e979052a,
Izzy3110,/Izzy3110,
main,/Izzy3110/Flask-App,_parent
main,/Izzy3110/Flask-App,_parent
View workflow file,/Izzy3110/Flask-App/actions/runs/3720231688/workflow,
fix,/Izzy3110/Flask-App/actions/runs/3720223757,
cb52590,/Izzy3110/Flask-App/commit/cb5259071e60b098329810881fe686301d4a1f44,
Izzy3110,/Izzy3110,
main,/Izzy3110/Flask-App,_parent
main,/Izzy3110/Flask-App,_parent
View workflow file,/Izzy3110/Flask-App/actions/runs/3720223757/workflow,
logger,/Izzy3110/Flask-App/actions/runs/3720045322,
37fc376,/Izzy3110/Flask-App/commit/37fc376e888a39726a4e81e16a16777e1d1ee93d,
Izzy3110,/Izzy3110,
main,/Izzy3110/Flask-App,_parent
main,/Izzy3110/Flask-App,_parent
View workflow file,/Izzy3110/Flask-App/actions/runs/3720045322/workflow,
debug table_prefix,/Izzy3110/Flask-App/actions/runs/3720043113,
b83211a,/Izzy3110/Flask-App/commit/b83211a698e314b8cdf8a868c3a76344eadf6ee0,
Izzy3110,/Izzy3110,
main,/Izzy3110/Flask-App,_parent
main,/Izzy3110/Flask-App,_parent
View workflow file,/Izzy3110/Flask-App/actions/runs/3720043113/workflow,
config,/Izzy3110/Flask-App/actions/runs/3720025498,
8c7e5da,/Izzy3110/Flask-App/commit/8c7e5da8e9309aa0b76deba2196fa4959f9b7537,
Izzy3110,/Izzy3110,
main,/Izzy3110/Flask-App,_parent
main,/Izzy3110/Flask-App,_parent
View workflow file,/Izzy3110/Flask-App/actions/runs/3720025498/workflow,
+,/Izzy3110/Flask-App/actions/runs/3720022194,
fc5c4b6,/Izzy3110/Flask-App/commit/fc5c4b6520954e9e77e789d00c404217085378a8,
Izzy3110,/Izzy3110,
